player,salary,PTS,Scoring Average Before Cut-AVG,Round 3 Scoring Average-AVG,Scoring Average (Actual)-AVG,SG: Putting-AVERAGE,SG: Total-AVERAGE,SG: Tee-to-Green-AVERAGE,SG: Tee-to-Green-SG:APR,SG: Tee-to-Green-SG:ARG,SG: Off-the-Tee-AVERAGE,SG Magnitude,SG Mag Multiply,Birdie or Better Conversion Percentage-%,One-Putt Percentage-%,Greens in Regulation Percentage-%,Birdie or Better Percentage-%,Birdie to Bogey Ratio-BIRDIE TO BOGEY RATIO,Birdie Average-AVG,Total Driving-ACCURACY RANK,Sand Save Percentage-%,Scrambling-%
Keith Mitchell,6500,53.27,71.19,71.13,71.12,0.323,-0.081,-0.404,-0.274,-0.61,0.481,-0.00385,-0.385,31.34,40.21,64.29,21.16,1.14,3.74,127,52.17,56.67
Sung Kang,6500,61.89,70.69,71.18,70.76,-0.381,0.167,0.548,0.319,-0.2,0.429,-0.02015,-2.015,31.22,37.3,68.25,22.79,1.29,4.02,147,44.12,56.79
Jimmy Walker,6500,47.54,71.25,72,71.41,-0.268,-0.394,-0.127,0.5,-0.035,-0.592,-0.14885,-14.885,30.2,38.73,64.38,19.93,1.02,3.5,219,40.51,53.21
Pat Perez,6500,62.14,71.04,68.67,70.31,0.22,0.056,-0.164,0.333,-0.227,-0.271,0.06605,6.605,28.93,37.75,69.09,20.51,1.37,3.54,106,51.52,58.53
Jason Dufner,6500,45.71,70.54,70.29,71.21,-0.819,-0.321,0.499,0.2,0.16,0.138,-0.24185,-24.185,24.44,37.43,65.79,17.4,1.04,3.11,47,53.42,61.54
Bronson Burgoon,6400,58.62,69.88,69.57,69.49,0.397,0.781,0.384,0.317,0.173,-0.106,0.3382,33.82,34.59,42.64,67.72,24.62,1.67,4.38,138,59.57,60.93
Mark Hubbard,6400,66.03,70.09,67.75,69.81,0.414,0.537,0.124,0.089,0.04,-0.005,0.25065,25.065,31.55,41.3,66.67,21.7,1.57,3.75,75,48.94,62.26
Troy Merritt,6400,52.33,70.77,70,70.87,0.46,-0.426,-0.886,-0.498,-0.231,-0.157,-0.07225,-7.225,31.01,39.33,65.06,21.78,1.27,3.89,79,41.54,57.32
Tyler Duncan,6400,52.94,70.68,70.22,70.65,-0.071,-0.28,-0.209,0.205,-0.282,-0.132,-0.10205,-10.205,29.4,37.98,66.55,20.63,1.31,3.61,12,44.44,57.29
Cameron Tringale,6400,67.79,69.69,69.55,70.09,0.033,0.889,0.857,0.669,0.162,0.026,0.31515,31.515,29.28,39.73,68.6,21.26,1.61,3.78,202,56.25,65
Doc Redman,6400,60.75,70.12,70.42,70.23,-0.108,0.444,0.552,0.522,-0.337,0.366,0.1208,12.08,30.29,37.5,69.64,21.92,1.45,3.88,24,54.02,57.19
Nick Watney,6400,51.88,70.12,70.67,70.31,0.018,0.451,0.433,0.292,0.274,-0.133,0.1672,16.72,30.63,37.46,70.63,22.7,1.44,3.97,151,45.1,55.68
Aaron Wise,6400,49.41,70.33,71.4,70.42,-0.665,-0.531,0.134,0.173,-0.113,0.073,-0.28935,-28.935,28.5,33.87,71.86,22.04,1.28,3.87,126,51.16,56.69
Aaron Baddeley,6400,56.85,70.27,70.43,70.36,0.093,0.294,0.201,-0.098,0.822,-0.523,0.143,14.3,32.56,41.41,65.15,22.39,1.56,4,108,60,63.77
Peter Malnati,6300,46.64,70.77,69.5,70.85,0.779,-0.201,-0.98,-0.69,0.149,-0.439,0.06845,6.845,33.25,46.44,60.68,21.08,1.29,3.69,199,48.08,64.86
Carlos Ortiz,6300,68.61,70.14,68.1,69.56,0.059,0.798,0.739,0.294,0.415,0.03,0.28665,28.665,30.9,38.54,68.63,23.03,1.76,3.98,196,51.43,65.31
Adam Long,6300,65.28,69.79,72.15,70.13,0.042,0.568,0.526,0.484,-0.031,0.073,0.20145,20.145,30.97,39.58,68.75,21.92,1.44,3.82,35,42.7,59.68
Wyndham Clark,6300,53.32,70.43,72,70.95,0.563,-0.048,-0.61,-0.342,0.125,-0.394,0.0876,8.76,33.06,41.34,63.95,21.96,1.25,3.81,205,50.77,57.35
Kevin Chappell,6300,49.6,70.91,72.33,71.35,0.039,-0.458,-0.497,-0.222,-0.069,-0.205,-0.1441,-14.41,30.9,40.68,63.8,21.15,1.15,3.71,187,47.27,57.92
Brian Gay,6300,57.8,70.66,69,70.64,0.213,-0.268,-0.481,-0.015,-0.02,-0.447,-0.0396,-3.96,32.72,41.84,64.66,22.34,1.37,3.96,158,40.45,58.86
Nate Lashley,6300,49.31,70.88,69,70.56,0.313,0.081,-0.232,-0.163,0.159,-0.229,0.08665,8.665,29.62,38.58,65.74,20.68,1.2,3.53,74,44.07,55.41
Mackenzie Hughes,6300,40.31,71.29,69.6,71.15,0.061,-0.416,-0.477,-0.417,0.526,-0.586,-0.10715,-10.715,28.57,38.4,64.05,19.61,1.17,3.53,174,52.31,57.27
Brice Garnett,6200,54.58,70.43,70.44,70.05,0.387,0.306,-0.081,-0.399,0.147,0.171,0.1566,15.66,27.85,37.96,68.39,20.11,1.52,3.57,60,51.39,63.6
Denny McCarthy,6200,70.39,69.79,69.08,69.69,1.296,0.509,-0.787,-0.473,-0.125,-0.189,0.382,38.2,33.54,40.81,68.7,24.25,1.67,4.31,123,48.35,59.04
Scott Stallings,6200,62.33,69.73,70.56,70.02,-0.027,0.096,0.123,0.059,0.169,-0.105,0.0348,3.48,29.72,37.94,68.16,21.54,1.5,3.61,182,49.06,60.85
Kevin Tway,6200,46.38,71.67,70.5,71.17,-0.29,-0.415,-0.126,0.093,0.294,-0.514,-0.1635,-16.35,29.46,39.35,62.5,19.29,1.03,3.42,224,45.76,55.56
Scott Brown,6200,45.84,71.24,70.44,71.29,0.029,-0.19,-0.22,-0.53,0.042,0.269,-0.07585,-7.585,27.84,39,63.43,18.52,1.08,3.27,21,45.78,60.44
Sepp Straka,6200,41.25,71.21,72.5,71.08,0.036,0.283,0.247,0.048,-0.144,0.343,0.0873,8.73,26.61,36.53,66.94,19.03,1.22,3.38,105,50.82,61.34
J.J. Spaun,6200,49.65,71.46,73.22,71.57,-0.03,-0.812,-0.782,-0.292,-0.488,-0.002,-0.2886,-28.86,29.72,36.51,66.01,20.37,1.06,3.62,167,49.21,50.97
Michael Thompson,6200,44.73,71.08,69.5,71.09,0.153,-0.51,-0.663,-0.552,0.085,-0.196,-0.14575,-14.575,27.42,39.24,64.76,18.75,1.14,3.28,54,53.23,59.61
Kyle Stanley,6200,48.15,70.56,71,70.57,-0.304,-0.183,0.121,0.396,-0.026,-0.25,-0.09725,-9.725,28.24,35.74,70.72,20.72,1.37,3.68,10,52.54,58.46
