Name,Score,SG: Total-AVERAGE,SG: Putting-AVERAGE,SG: Around-the-Green-AVERAGE,SG: Approach the Green-AVERAGE,SG: Tee-to-Green-AVERAGE,SG: Off-the-Tee-AVERAGE,Position,Name + ID,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
Hideki Matsuyama,0.4548,1.042,-0.668,0.466,0.871,1.711,0.374,G,Hideki Matsuyama (14695911),14695911,G,10200,Rocket Mortgage Classic,Golf,77.88
Kyoung-Hoon Lee,-0.05515,-0.145,-0.185,0.024,-0.211,0.04,0.227,G,Kyoung-Hoon Lee (14696001),14696001,G,6300,Rocket Mortgage Classic,Golf,46.95
Grayson Murray,-0.1054,-0.605,-0.772,0.134,-0.333,0.167,0.366,G,Grayson Murray (14695992),14695992,G,6400,Rocket Mortgage Classic,Golf,48.41
Kyle Stanley,0.06775,0.011,-0.32,0,0.413,0.332,-0.082,G,Kyle Stanley (14695948),14695948,G,7100,Rocket Mortgage Classic,Golf,49.57
Harold Varner III,0.25055,1.021,-0.111,0.096,0.554,1.132,0.482,G,Harold Varner III (14695936),14695936,G,7600,Rocket Mortgage Classic,Golf,63.09
Henrik Norlander,-0.1241,-0.274,-0.201,-0.195,0.006,-0.074,0.115,G,Henrik Norlander (14695983),14695983,G,6500,Rocket Mortgage Classic,Golf,53.85
Roger Sloan,-0.19585,-1.203,-0.505,0.106,-0.49,-0.698,-0.314,G,Roger Sloan (14696024),14696024,G,6200,Rocket Mortgage Classic,Golf,39.87
Steve Stricker,0.0615,-0.169,0.195,0.378,-0.507,-0.364,-0.236,G,Steve Stricker (14696003),14696003,G,6300,Rocket Mortgage Classic,Golf,38.75
Alex Noren,0.2917,0.518,0.167,0.479,0.08,0.351,-0.208,G,Alex Noren (14695931),14695931,G,7800,Rocket Mortgage Classic,Golf,70.4
Ben Martin,-0.06115,-0.118,0.086,-0.129,0.022,-0.204,-0.097,G,Ben Martin (14695978),14695978,G,6600,Rocket Mortgage Classic,Golf,53.61
Tony Finau,0.4787,1.351,-0.04,0.56,0.468,1.391,0.363,G,Tony Finau (14695915),14695915,G,9300,Rocket Mortgage Classic,Golf,71.92
Martin Trainer,-0.80875,-3.304,-0.398,-0.112,-2.04,-2.907,-0.754,G,Martin Trainer (14696054),14696054,G,6000,Rocket Mortgage Classic,Golf,28.06
Matt Wallace,-0.10945,-0.527,-0.224,0.301,-0.905,-0.303,0.301,G,Matt Wallace (14695971),14695971,G,6700,Rocket Mortgage Classic,Golf,47.9
Ryan Brehm,-0.3157,-1.051,-0.614,-0.239,-0.362,-0.437,0.165,G,Ryan Brehm (14696057),14696057,G,6000,Rocket Mortgage Classic,Golf,54
Chris Baker,-0.16265,-0.805,-0.732,0.029,-0.293,-0.073,0.191,G,Chris Baker (14696030),14696030,G,6100,Rocket Mortgage Classic,Golf,42.5
Shawn Stefani,-0.27435,-0.949,-0.386,-0.154,-0.454,-0.563,0.044,G,Shawn Stefani (14696009),14696009,G,6300,Rocket Mortgage Classic,Golf,66
Chris Kirk,-0.1618,-0.847,-0.829,-0.027,-0.118,-0.017,0.128,G,Chris Kirk (14695946),14695946,G,7200,Rocket Mortgage Classic,Golf,38.86
Kramer Hickok,0.00835,-0.465,-0.391,0.423,-0.58,-0.074,0.084,G,Kramer Hickok (14696044),14696044,G,6000,Rocket Mortgage Classic,Golf,41.36
Kurt Kitayama,0.04985,-0.269,-0.739,0.238,0.033,0.47,0.199,G,Kurt Kitayama (14702199),14702199,G,8100,Rocket Mortgage Classic,Golf,64.57
C.T. Pan,-0.09165,-1.06,-0.986,0.117,0.055,-0.074,-0.246,G,C.T. Pan (14695991),14695991,G,6400,Rocket Mortgage Classic,Golf,41.46
Robert Streb,-0.20075,-0.696,-0.383,-0.234,-0.033,-0.314,-0.047,G,Robert Streb (14695996),14695996,G,6400,Rocket Mortgage Classic,Golf,50.07
D.J. Trahan,0.007,-0.036,-0.51,-0.058,0.311,0.474,0.221,G,D.J. Trahan (14696055),14696055,G,6000,Rocket Mortgage Classic,Golf,56.79
Roberto Castro,0.107,0.183,-0.236,0.198,0.057,0.419,0.164,G,Roberto Castro (14696033),14696033,G,6100,Rocket Mortgage Classic,Golf,49.21
Bo Van Pelt,-0.5624,-2.686,-0.807,-0.129,-0.977,-1.879,-0.773,G,Bo Van Pelt (14696048),14696048,G,6000,Rocket Mortgage Classic,Golf,31.85
Emiliano Grillo,-0.01945,-0.47,-1.141,-0.163,0.79,0.671,0.043,G,Emiliano Grillo (14695947),14695947,G,7100,Rocket Mortgage Classic,Golf,47.81
Jason Dufner,0.05495,-0.208,-0.732,0.131,0.267,0.524,0.126,G,Jason Dufner (14695962),14695962,G,6800,Rocket Mortgage Classic,Golf,48.15
Kevin Tway,0.0561,-0.634,-0.345,0.304,0,-0.289,-0.594,G,Kevin Tway (14696007),14696007,G,6300,Rocket Mortgage Classic,Golf,43.75
